pckg, tiempo_envio [ns], tiempo_recibido [ns], terminal_envio, terminal_recibido, latencia [ns], profunidad, drivers
0bfdd2a1,135005,136105,1,11,1100,6,13
076333ac,135005,136465,12,7,1460,6,13
0b5fb4c1,135005,136825,1,11,1820,6,13
08d945c5,135005,137185,5,8,2180,6,13
027fc510,135005,137545,0,2,2540,6,13
002ed3d6,135005,137905,6,0,2900,6,13
08bf6d31,135005,138265,1,8,3260,6,13
0bcaf2a6,135005,138625,6,11,3620,6,13
05dbc264,135005,138985,4,5,3980,6,13
0490d44b,135005,139345,11,4,4340,6,13
032e2eda,135005,139705,10,3,4700,6,13
02fcf0e7,135005,140065,7,2,5060,6,13
06513ae4,135005,140425,4,6,5420,6,13
022554f8,135005,140785,8,2,5780,6,13
07d60b76,135005,141505,6,7,6500,6,13
0633ed08,135005,141865,8,6,6860,6,13
047edc8b,135005,142225,11,4,7220,6,13
039e7394,135005,142585,4,3,7580,6,13
0bb4b498,135005,142945,8,11,7940,6,13
06ff29c4,135005,143305,4,6,8300,6,13
02292b32,135005,143665,2,2,8660,6,13
098db5a9,135005,144025,9,9,9020,6,13
0ae94df6,135005,144385,6,10,9380,6,13
049e94eb,337045,337905,11,4,860,6,13
00fb9b63,539255,539825,3,0,570,6,13
05bc4b8b,539415,540315,11,5,900,6,13
0153524d,1065,1455,13,1,390,15,14
034d6096,12135,12525,2,3,390,15,14
0395e816,12065,12895,4,3,830,15,14
0328465d,12305,13305,8,3,1000,15,14
0375212d,12315,13695,11,3,1380,15,14
03f998d8,12285,14085,0,3,1800,15,14
0305663b,12225,14445,1,3,2220,15,14
083e301d,23045,23465,13,8,420,15,14
0427277d,23455,24075,13,4,620,15,14
0b2d612c,34035,34485,0,11,450,15,14
038495cc,34335,34845,1,3,510,15,14
05b22801,34585,35215,3,5,630,15,14
0be28bda,34355,35575,4,11,1220,15,14
03cdb8f1,34095,35935,5,3,1840,15,14
017d6538,35025,36295,6,1,1270,15,14
04726652,34375,36655,7,4,2280,15,14
04a4ec50,34285,37015,8,4,2730,15,14
0c069f2d,34135,37385,10,12,3250,15,14
0207ae8d,34265,37745,11,2,3480,15,14
0042120d,34675,38105,12,0,3430,15,14
0c3870ab,34485,38475,0,12,3990,15,14
0062ad56,35175,38845,2,0,3670,15,14
0903e967,34855,39215,4,9,4360,15,14
02f62632,34415,39575,5,2,5160,15,14
09845aab,34725,39965,8,9,5240,15,14
01b582d4,34365,40335,10,1,5970,15,14
02fdd6b3,35115,40705,12,2,5590,15,14
093b8139,34955,41075,0,9,6120,15,14
06ab35e2,135005,135385,2,6,380,15,14
0dd80dbd,135005,135745,13,13,740,15,14
0527b4b5,135005,136105,5,5,1100,15,14
00de6385,135005,136465,5,0,1460,15,14
00df5faa,135005,136825,10,0,1820,15,14
0963eaea,135005,137185,10,9,2180,15,14
05bf9c63,135005,137545,3,5,2540,15,14
005fb4ca,135005,137905,10,0,2900,15,14
04ccec2c,135005,138265,12,4,3260,15,14
0dcaf2a4,135005,138625,4,13,3620,15,14
0191ae67,135005,138985,7,1,3980,15,14
05ebc9a5,135005,139345,5,5,4340,15,14
00b69db7,135005,139705,7,0,4700,15,14
083ff78a,135005,140425,10,8,5420,15,14
0c574c56,135005,140785,6,12,5780,15,14
055f48d2,135005,141145,2,5,6140,15,14
02b3b7fb,135005,141505,11,2,6500,15,14
0483dc99,135005,141865,9,4,6860,15,14
0a50deb9,135005,142225,9,10,7220,15,14
04c4bd96,135005,142585,6,4,7580,15,14
0112f969,135005,142945,9,1,7940,15,14
04b4b494,135005,143305,4,4,8300,15,14
018fdf73,135005,143665,3,1,8660,15,14
01fcf0e1,135005,144025,1,1,9020,15,14
08f2c04a,135005,144385,10,8,9380,15,14
0d18d881,135005,144745,1,13,9740,15,14
02dbf6b1,337095,337655,1,2,560,15,14
02e45923,337395,338025,3,2,630,15,14
0afb4ae4,337225,338385,4,10,1160,15,14
063819b5,337315,338745,5,6,1430,15,14
035e7886,337155,339105,6,3,1950,15,14
064df28b,337495,339535,11,6,2040,15,14
093050dd,337795,339905,13,9,2110,15,14
01cf61e3,337695,340315,3,1,2620,15,14
079b0c24,337625,340675,4,7,3050,15,14
01e1bd16,438185,438955,6,1,770,15,14
044f9d88,438485,439325,8,4,840,15,14
0cfe953b,438565,439715,11,12,1150,15,14
0996256c,438665,440075,12,9,1410,15,14
04c03732,438935,440485,2,4,1550,15,14
046fae26,438825,441235,6,4,2410,15,14
0b0b4d88,439035,441605,8,11,2570,15,14
063e204c,438885,442015,12,6,3130,15,14
06e4d121,539075,539735,1,6,660,15,14
01535244,1075,1515,4,1,440,11,9
0695e810,12055,12485,2,6,430,11,9
06284657,12325,12845,3,6,520,11,9
064d6091,12065,13205,4,6,1140,11,9
0697b0d4,12195,13595,7,6,1400,11,9
06f998d5,12275,13985,1,6,1710,11,9
06056635,12155,14345,2,6,2190,11,9
06752122,12415,14775,7,6,2360,11,9
073e3013,23025,23505,3,7,480,11,9
07de9f93,23515,24015,3,7,500,11,9
05ff7e53,23865,24525,3,5,660,11,9
072d6120,34105,34895,6,7,790,11,9
0007ae80,34385,35255,7,0,870,11,9
07c380d3,35065,35615,8,7,550,11,9
02cdb8f1,34155,35975,0,2,1820,11,9
058495c7,34565,36695,2,5,2130,11,9
0503e962,34995,37055,3,5,2060,11,9
07ccc9d7,34915,37415,4,7,2500,11,9
08421204,34865,38145,7,8,3280,11,9
027d6534,35155,38505,8,2,3350,11,9
03fdd6b7,35245,38865,0,3,3620,11,9
06fe91d1,35495,39225,1,6,3730,11,9
0163eae7,35415,39595,3,1,4180,11,9
083b8135,35045,39965,5,8,4920,11,9
0262ad50,35335,40335,7,2,5000,11,9
049a82f3,135005,135385,3,4,380,11,9
03fb6658,135005,135745,8,3,740,11,9
06f72fd2,135005,136105,2,6,1100,11,9
04449236,135005,136465,6,4,1460,11,9
00265b67,135005,136825,7,0,1820,11,9
053327e6,135005,137185,6,5,2180,11,9
04d945c1,135005,137545,1,4,2540,11,9
0625a774,135005,137905,4,6,2900,11,9
08b4b491,135005,138265,1,8,3260,11,9
042e2ed8,135005,138625,8,4,3620,11,9
06daddc3,135005,138985,3,6,3980,11,9
06a12891,135005,139705,1,6,4700,11,9
00d60b76,135005,140425,6,0,5420,11,9
08ccec26,135005,140785,6,8,5780,11,9
07488783,135005,141145,3,7,6140,11,9
08617732,135005,141505,2,8,6500,11,9
00b69db3,337085,337595,3,0,510,11,9
05b49ca4,337375,337955,4,5,580,11,9
02cde4d5,337185,338315,5,2,1130,11,9
040b7d96,337225,338675,6,4,1450,11,9
06371958,337505,339045,8,6,1540,11,9
0272db60,337435,339405,0,2,1970,11,9
024266d1,337255,339765,1,2,2510,11,9
0649b043,337595,340135,3,6,2540,11,9
055e2766,337355,340525,6,5,3170,11,9
0771a460,337585,340915,0,7,3330,11,9
01807697,438135,438535,7,1,400,11,9
08261f70,438045,438905,0,8,860,11,9
03cd9280,539155,539685,0,3,530,11,9
03535241,1045,1475,1,3,430,15,5
0395e812,12015,12465,0,3,450,15,5
034d6093,12045,12825,1,3,780,15,5
03056633,12115,13185,2,3,1070,15,5
03284654,12195,13905,4,3,1710,15,5
0397b0d3,12165,14265,0,3,2100,15,5
03752122,12215,14625,1,3,2410,15,5
033e3014,12275,15015,4,3,2740,15,5
01ff7e54,23555,23975,4,1,420,15,5
02272774,23605,24405,4,2,800,15,5
002d6122,34035,34445,4,0,410,15,5
02cdb8f3,34045,34805,0,2,760,15,5
03e28bd3,34285,35165,1,3,880,15,5
048495c1,34235,35525,2,4,1290,15,5
00069f23,34105,35885,3,0,1780,15,5
02845aa0,34685,36605,0,2,1920,15,5
00f62634,34495,36975,2,0,2480,15,5
043b8133,34825,37335,3,4,2510,15,5
0003e963,34815,37695,4,0,2880,15,5
040f3780,135005,135385,0,4,380,15,5
01a4b152,135005,135745,2,1,740,15,5
00ec0d70,135005,136105,0,0,1100,15,5
02488784,135005,136465,4,2,1460,15,5
046333a0,135005,137185,0,4,2180,15,5
04e32494,135005,137545,4,4,2540,15,5
00bf6d32,135005,137905,2,0,2900,15,5
019a82f2,135005,138265,2,1,3260,15,5
014b3413,135005,138625,3,1,3620,15,5
018db5a3,337105,337515,3,1,410,15,5
02fb6654,337375,337875,4,2,500,15,5
0436cda2,337275,338605,2,4,1330,15,5
02119793,337505,338965,3,2,1460,15,5
016adab4,438245,438675,4,1,430,15,5
03ebc9a0,438385,439035,0,3,650,15,5
00fcf0e2,438295,439405,2,0,1110,15,5
04daddc3,438355,439765,3,4,1410,15,5
0165d932,539705,540105,2,1,400,15,5
024bf943,539645,540465,3,2,820,15,5
001340a1,539335,541195,1,0,1860,15,5
05535242,1005,1515,2,5,510,9,14
074d609c,12135,12605,6,7,470,9,14
0795e81b,12065,12975,8,7,910,9,14
07056633,12235,13425,0,7,1190,9,14
0697b0dc,23055,23445,12,6,390,9,14
00f998dc,23105,24055,12,0,950,9,14
0b284653,34095,34525,2,11,430,9,14
09752121,34155,34885,3,9,730,9,14
03dcd3d1,34325,35245,4,3,920,9,14
023e3015,34165,35605,5,2,1440,9,14
04e28bd5,35055,35965,6,4,910,9,14
027cd0db,34185,36325,7,2,2140,9,14
02696ce5,34845,36685,8,2,1840,9,14
080f3789,36485,37045,9,8,560,9,14
098bdf26,36205,37405,10,9,1200,9,14
023f1763,34255,37765,11,2,3510,9,14
038495c2,34975,38125,12,3,3150,9,14
00df78cc,34405,38485,13,0,4080,9,14
03de9f93,34425,38845,0,3,4420,9,14
00724c69,34525,39205,1,0,4680,9,14
06457ed3,34395,39565,2,6,5170,9,14
0674a023,35905,39925,3,6,4020,9,14
01a4ec56,34965,40285,4,1,5320,9,14
0907ae86,34935,40645,5,9,5710,9,14
02c380d9,35615,41005,6,2,5390,9,14
0514c3c7,36165,41365,7,5,5200,9,14
044b3415,36385,41725,8,4,5340,9,14
04265b63,36695,42085,9,4,5390,9,14
01421205,35275,42495,13,1,7220,9,14
09845aab,35305,43215,1,9,7910,9,14
04241850,37075,43575,2,4,6500,9,14
0bbf9c66,36775,43935,3,11,7160,9,14
00449236,36055,44295,4,0,8240,9,14
0c63eae3,35925,44655,5,12,8730,9,14
05513ae5,36865,45015,6,5,8150,9,14
0d79a0b3,37035,45375,7,13,8340,9,14
007be714,37065,45735,8,0,8670,9,14
010b7d9d,135005,135385,13,1,380,9,14
06807694,135005,135745,4,6,740,9,14
007a6fd9,135005,136105,9,0,1100,9,14
06199ba2,135005,136465,2,6,1460,9,14
0259f26c,135005,136825,12,2,1820,9,14
0aa4b155,135005,137185,5,10,2180,9,14
044569f2,135005,137545,2,4,2540,9,14
08d7f0cd,135005,137905,13,8,2900,9,14
0a28f1f2,135005,138265,2,10,3260,9,14
0bf38869,135005,138625,9,11,3620,9,14
088565fb,135005,138985,11,8,3980,9,14
08fb6653,135005,139345,3,8,4340,9,14
03daddc2,135005,139705,2,3,4700,9,14
01e8a383,135005,140065,3,1,5060,9,14
0249b047,135005,140425,7,2,5420,9,14
077e4081,135005,140785,1,7,5780,9,14
005c470b,135005,141145,11,0,6140,9,14
03737962,135005,141505,2,3,6500,9,14
03d80db4,135005,141865,4,3,6860,9,14
05da9f8d,135005,142225,13,5,7220,9,14
057fc515,135005,142585,5,5,7580,9,14
015816d3,135005,142945,3,1,7940,9,14
07caf2a8,135005,143305,8,7,8300,9,14
029a82f0,135005,143665,0,2,8660,9,14
0a2e2ed3,135005,144025,3,10,9020,9,14
036adabc,135005,144385,12,3,9380,9,14
061340ad,135005,144745,13,6,9740,9,14
09b69db3,135005,145105,3,9,10100,9,14
0bc59f59,337085,337535,9,11,450,9,14
0a39650b,337035,337905,11,10,870,9,14
08488350,337175,338295,0,8,1120,9,14
01175c18,337245,338785,8,1,1540,9,14
05574c54,438085,438515,4,5,430,9,14
041b4989,438135,438945,9,4,810,9,14
08c42736,539115,539585,6,8,470,9,14
07535246,1095,1575,6,7,480,4,11
0795e811,12075,12545,4,7,470,4,11
014d6094,23055,23545,4,1,490,4,11
0297b0d3,34145,34525,3,2,380,4,11
047cd0d8,34465,34915,6,4,450,4,11
013f1764,34555,35275,7,1,720,4,11
09056631,34095,35635,8,9,1540,4,11
0a457ed1,34575,35995,9,10,1420,4,11
06b22800,35745,36355,10,6,610,4,11
0707ae84,35255,36715,0,7,1460,4,11
073e3015,34405,37075,1,7,2670,4,11
088495c5,35435,37435,2,8,2000,4,11
04f998d2,34245,37795,3,4,3550,4,11
08dcd3d3,34565,38155,4,8,3590,4,11
03df78c5,34585,38515,5,3,3930,4,11
08a4ec57,35345,38885,7,8,3540,4,11
0ade9f98,34645,39245,8,10,4600,4,11
0a03e962,35975,39605,9,10,3630,4,11
07ccc9d0,35875,39965,10,7,4090,4,11
047d6534,36085,40335,1,4,4250,4,11
06845aa7,35795,41065,4,6,5270,4,11
04696ce2,35175,41425,5,4,6250,4,11
02c380d5,36055,41795,7,2,5740,4,11
01fdd6b9,36125,42165,9,1,6040,4,11
0999bf19,135005,135385,9,9,380,4,11
011559fa,135005,135745,10,1,740,4,11
0a4569fa,135005,136105,10,10,1100,4,11
08e32496,135005,136465,6,8,1460,4,11
0474a029,135005,136825,9,4,1820,4,11
02449231,135005,137185,1,2,2180,4,11
058bdf27,135005,137545,7,5,2540,4,11
080f3782,135005,137905,2,8,2900,4,11
03bf9c62,135005,138265,2,3,3260,4,11
0879a0b0,135005,138625,0,8,3620,4,11
01c603b0,135005,138985,0,1,3980,4,11
05ccec28,337095,337515,8,5,420,4,11
097edc8a,337135,337885,10,9,750,4,11
0925a77a,337235,338435,10,9,1200,4,11
052ed3d8,438045,438555,8,5,510,4,11
05cdb129,438135,438915,9,5,780,4,11
055007e6,539055,539525,6,5,470,4,11
0a53524c,1065,1555,12,10,490,2,16
0595e81f,12025,12665,1,5,640,2,16
054d609b,23105,23545,11,5,440,2,16
0805663b,23175,24195,11,8,1020,2,16
0897b0d4,34075,34505,9,8,430,2,16
007cd0d7,34465,34895,12,0,430,2,16
08752125,34365,35265,14,8,900,2,16
08f998d5,34165,35625,15,8,1460,2,16
05de9f9e,34855,35985,0,5,1130,2,16
00e28bde,35345,36345,1,0,1000,2,16
0a3d2aa8,34975,36705,2,10,1730,2,16
0a457ede,34675,37065,3,10,2390,2,16
0727277f,35015,37425,4,7,2410,2,16
043e3018,34405,37785,5,4,3380,2,16
0730acae,36535,38145,6,7,1610,2,16
01df78cf,34755,38505,7,1,3750,2,16
0edcd3d0,34595,39585,10,14,4990,2,16
09726654,35455,39945,11,9,4490,2,16
062d6124,35025,40305,12,6,5280,2,16
03ff7e54,35005,40665,13,3,5660,2,16
03cdb8f1,35045,41025,14,3,5980,2,16
0a3f1765,34545,41385,15,10,6840,2,16
0f62ad51,36165,41745,0,15,5580,2,16
0c449231,36425,42105,1,12,5680,2,16
0f069f22,35085,42465,2,15,7380,2,16
0f63eaec,36245,42825,3,15,6580,2,16
0c8495cc,35255,43185,4,12,7930,2,16
00a4ec56,35195,43545,5,0,8350,2,16
00b34d85,36825,43905,6,0,7080,2,16
0303e96f,35935,44265,7,3,8330,2,16
0107ae8b,35175,44625,8,1,9450,2,16
04fdd2a6,37305,45705,11,4,8400,2,16
062d6124,35025,46065,12,6,11040,2,16
08b582d2,35395,46425,13,8,11030,2,16
03cdb8f1,35045,46785,14,3,11740,2,16
0a3f1765,34545,47145,15,10,12600,2,16
0f62ad51,36165,47505,0,15,11340,2,16
05a4b158,135005,135385,8,5,380,2,16
01c4bd9a,135005,135745,10,1,740,2,16
0f5fb4c3,135005,136105,3,15,1100,2,16
029a18f4,135005,136465,4,2,1460,2,16
0ad60b75,135005,136825,5,10,1820,2,16
0ad945c8,135005,137185,8,10,2180,2,16
01e3789f,135005,137545,15,1,2540,2,16
0733ed0d,135005,137905,13,7,2900,2,16
047fc51c,135005,138265,12,4,3260,2,16
09d7f0c0,135005,138625,0,9,3620,2,16
087edc86,135005,138985,6,8,3980,2,16
052ed3d0,135005,139345,0,5,4340,2,16
025007e6,135005,139705,6,2,4700,2,16
0a7be716,135005,140065,6,10,5060,2,16
0e2554f0,135005,140425,0,14,5420,2,16
0a6333aa,135005,140785,10,10,5780,2,16
059e7394,337015,337435,4,5,420,2,16
0128f1f5,337055,337795,5,1,740,2,16
0abf6d38,539075,539585,8,10,510,2,16
01535248,1065,1555,8,1,490,7,13
0c95e814,12095,12545,7,12,450,7,13
0c4d6095,12195,13095,5,12,900,7,13
0505663b,23015,23625,11,5,610,7,13
0128465b,23125,24215,11,1,1090,7,13
01752127,34015,34465,3,1,450,7,13
02457eda,34255,34855,6,2,600,7,13
03dcd3d9,34245,35215,7,3,970,7,13
00272777,34595,35575,8,0,980,7,13
07de9f94,34295,36295,10,7,2000,7,13
0562ad52,35945,36655,11,5,710,7,13
027cd0d9,34175,37015,12,2,2840,7,13
033f176b,34195,37375,0,3,3180,7,13
0a696ce0,34765,37735,1,10,2970,7,13
042d612b,34665,38095,2,4,3430,7,13
00784c56,34405,38455,3,0,4050,7,13
023d2aac,34505,38815,4,2,4310,7,13
03726651,35025,39175,5,3,4150,7,13
0cccc9d5,35545,39535,6,12,3990,7,13
03724c67,34355,39895,7,3,5540,7,13
043870a3,35175,40615,9,4,5440,7,13
00cdb8fc,34675,40975,10,0,6300,7,13
084b3413,36485,41335,11,8,4850,7,13
0979a0b1,36845,41695,12,9,4850,7,13
0ce618a2,36445,42055,0,12,5610,7,13
08c603b9,37035,42415,1,8,5380,7,13
0a513ae1,36695,42775,2,10,6080,7,13
058bdf20,36435,43135,3,5,6700,7,13
05c380d3,35675,43495,4,5,7820,7,13
086333a3,37065,43855,5,8,6790,7,13
0a50deb2,36605,44215,6,10,7610,7,13
013327e5,37135,44575,7,1,7440,7,13
06fdd2a6,36775,44935,8,6,8160,7,13
0a502bc3,36735,45295,9,10,8560,7,13
0072db69,135005,135385,9,0,380,7,13
0799bf16,135005,135745,6,7,740,7,13
0bd60b78,135005,136105,8,11,1100,7,13
01ec0d7c,135005,136465,12,1,1460,7,13
022ed3dc,135005,136825,12,2,1820,7,13
0592f851,135005,137185,1,5,2180,7,13
01f3886c,135005,137545,12,1,2540,7,13
0c9a82f0,135005,137905,0,12,2900,7,13
068db5ac,135005,138265,12,6,3260,7,13
04119791,135005,138625,1,4,3620,7,13
0bebc9ac,135005,138985,12,11,3980,7,13
0a7ca597,135005,139705,7,10,4700,7,13
04807697,135005,140065,7,4,5060,7,13
039a18f4,135005,140425,4,3,5420,7,13
07e32493,135005,140785,3,7,5780,7,13
0a7edc86,135005,141145,6,10,6140,7,13
0528f1f8,135005,141505,8,5,6500,7,13
08caf2ac,135005,141865,12,8,6860,7,13
0a61773a,135005,142225,10,10,7220,7,13
06ae2b56,135005,142945,6,6,7940,7,13
00fcf0e1,135005,143305,1,0,8300,7,13
0b976677,135005,143665,7,11,8660,7,13
0265d939,135005,144025,9,2,9020,7,13
0c5e2764,135005,144385,4,12,9380,7,13
0a0042d0,337195,337615,0,10,420,7,13
08530c75,337205,338375,5,8,1170,7,13
057e4088,337285,338765,8,5,1480,7,13
0cc9c2ea,337265,339135,10,12,1870,7,13
041451cc,337305,339505,12,4,2200,7,13
087a6fd4,539025,539465,4,8,440,7,13
0b535242,1055,1595,2,11,540,12,12
0195e817,12045,12425,5,1,380,12,12
0105663a,12145,12895,0,1,750,12,12
014d6090,12075,13265,2,1,1190,12,12
0197b0d7,12225,13625,3,1,1400,12,12
06f998d5,23025,23425,5,6,400,12,12
063f1765,23385,23995,5,6,610,12,12
08724c64,34025,34585,1,8,560,12,12
05cdb8f8,34445,34975,4,5,530,12,12
09ff7e5a,34225,35335,5,9,1110,12,12
00784c58,34105,35705,7,0,1600,12,12
0727277b,34305,36075,9,7,1770,12,12
03069f2a,34475,36435,10,3,1960,12,12
0a8495c3,34715,36805,0,10,2090,12,12
00696ce2,34575,37175,2,0,2600,12,12
03a4ec55,34655,37565,5,3,2910,12,12
0107ae81,34645,37975,9,1,3330,12,12
08241850,135005,135385,0,8,380,12,12
07da9f80,135005,135745,0,7,740,12,12
01ccec25,135005,136105,5,1,1100,12,12
0ba595b4,135005,136465,4,11,1460,12,12
089a82f2,135005,136825,2,8,1820,12,12
06ae2b58,135005,137185,8,6,2180,12,12
05eed563,135005,137545,3,5,2540,12,12
00b69db4,135005,137905,4,0,2900,12,12
00ebab41,135005,138265,1,0,3260,12,12
07b582d8,135005,138625,8,7,3620,12,12
07fdd6b7,135005,138985,7,7,3980,12,12
054b3415,135005,139345,5,5,4340,12,12
071559f3,135005,139705,3,7,4700,12,12
0812f965,135005,140065,5,8,5060,12,12
0392f851,135005,140425,1,3,5420,12,12
0a61773a,135005,140785,10,10,5780,12,12
0636cdaa,135005,141145,10,6,6140,12,12
04f72fd0,135005,141505,0,4,6500,12,12
05f2c04a,135005,141865,10,5,6860,12,12
07261f74,135005,142225,4,7,7220,12,12
067901c2,135005,142585,2,6,7580,12,12
0ac380d8,135005,142945,8,10,7940,12,12
088bdf2a,135005,143305,10,8,8300,12,12
01779fa0,337225,337605,0,1,380,12,12
06199ba2,337075,337975,2,6,900,12,12
0ae05d57,337265,338735,7,10,1470,12,12
04761372,438165,438555,2,4,390,12,12
0559f263,438235,438915,3,5,680,12,12
0b921c04,438205,439275,4,11,1070,12,12
08737967,438195,439665,7,8,1470,12,12
0b61ab63,539015,539395,3,11,380,12,12
03cee614,539555,539985,4,3,430,12,12
023ff785,539255,540345,5,2,1090,12,12
00d80dba,539295,540775,10,0,1480,12,12
0753524e,1025,1535,14,7,510,12,15
0795e815,12085,12625,3,7,540,12,15
074d609c,12135,12985,4,7,850,12,15
07056639,12175,13735,8,7,1560,12,15
0797b0dd,12235,14125,11,7,1890,12,15
0728465a,12325,14485,12,7,2160,12,15
07f998da,12255,14955,4,7,2700,12,15
003e3015,23075,23665,5,0,590,12,15
0a3f176d,34055,34545,14,10,490,12,15
0b3d2aac,34525,34935,2,11,410,12,15
04dcd3d3,34065,35295,3,4,1230,12,15
00724c65,34395,35655,4,0,1260,12,15
09784c5c,34445,36025,6,9,1580,12,15
03de9f93,34295,36455,11,3,2160,12,15
00df78c0,34205,36815,12,0,2610,12,15
052d612a,34645,37225,1,5,2580,12,15
0d069f2c,34755,37585,2,13,2830,12,15
0d07ae84,34945,37945,3,13,3000,12,15
01696cee,34855,38335,6,1,3480,12,15
09a4ec50,34985,38865,1,9,3880,12,15
08488783,135005,135385,3,8,380,12,15
02bb4a3d,135005,135745,13,2,740,12,15
0a102c37,135005,136465,7,10,1460,12,15
057ca591,135005,136825,1,5,1820,12,15
0e807699,135005,137185,9,14,2180,12,15
04567863,135005,137545,3,4,2540,12,15
01d2b798,135005,138265,8,1,3260,12,15
05e28bde,135005,138625,14,5,3620,12,15
037d653e,135005,138985,14,3,3980,12,15
06e618ad,135005,139345,13,6,4340,12,15
017be710,135005,139705,0,1,4700,12,15
0d9a18f9,135005,140065,9,13,5060,12,15
00d7f0ce,135005,140425,14,0,5420,12,15
0bdbc26a,135005,140785,10,11,5780,12,15
0d2e2ed8,135005,141145,8,13,6140,12,15
03ebc9a3,135005,141505,3,3,6500,12,15
0865d933,135005,141865,3,8,6860,12,15
0e49b04d,135005,142225,13,14,7220,12,15
03e07297,135005,142585,7,3,7580,12,15
004f61aa,135005,142945,10,0,7940,12,15
06d80db1,135005,143305,1,6,8300,12,15
07175c12,135005,143665,2,7,8660,12,15
063b8139,135005,144025,9,6,9020,12,15
0814c3c4,135005,144385,4,8,9380,12,15
04fdd2a3,135005,144745,3,4,9740,12,15
0a5fb4c5,135005,145105,5,10,10100,12,15
057fc510,135005,145465,0,5,10460,12,15
0dbf6d34,135005,145825,4,13,10820,12,15
020168a6,337035,337475,6,2,440,12,15
062e6ece,337015,337965,14,6,950,12,15
048d14e3,438035,438445,3,4,410,12,15
07b80a8c,438095,438955,12,7,860,12,15
03fb52a2,539295,539685,2,3,390,12,15
036c09f7,539255,540115,7,3,860,12,15
06535247,1085,1535,7,6,450,5,13
0c4d6092,12065,12525,6,12,460,5,13
0c95e817,12025,12895,8,12,870,5,13
0c056636,12095,13265,10,12,1170,5,13
0497b0d5,23065,23505,5,4,440,5,13
073e3015,23235,24095,5,7,860,5,13
047cd0dc,34075,34525,6,4,450,5,13
0cdf78c6,34215,34885,7,12,670,5,13
01069f2b,34545,35245,8,1,700,5,13
05cdb8f2,34505,35605,9,5,1100,5,13
07724c67,34305,35965,10,7,1660,5,13
02b582db,34885,36325,11,2,1440,5,13
04e28bd2,34815,36685,12,4,1870,5,13
043f176a,34175,37045,0,4,2870,5,13
0bde9f95,34295,37405,1,11,3110,5,13
0cdcd3da,34195,37765,2,12,3570,5,13
0a3d2aa4,34335,38125,3,10,3790,5,13
08457eda,34205,38485,4,8,4280,5,13
08ccc9d4,35365,38845,5,8,3480,5,13
00ff7e5c,34385,39205,6,0,4820,5,13
083870a8,35075,39565,7,8,4490,5,13
02696cec,34585,39925,8,2,5340,5,13
0aa4ec5a,34645,40285,9,10,5640,5,13
0c421207,35205,40645,10,12,5440,5,13
009650aa,36125,41005,11,0,4880,5,13
0850deb7,36695,41365,12,8,4670,5,13
08b34d85,36485,41725,0,8,5240,5,13
00e618a9,36385,42085,1,0,5700,5,13
013327e6,37325,42445,2,1,5120,5,13
07726656,34985,42815,4,7,7830,5,13
016333a7,37265,43175,5,1,5910,5,13
0463eae9,35805,43895,7,4,8090,5,13
0b99bf1b,37425,44255,8,11,6830,5,13
032554fb,37195,44615,9,3,7420,5,13
0c421207,35205,44975,10,12,9770,5,13
05513aea,36825,45335,11,5,8510,5,13
00265b69,36755,45695,12,0,8940,5,13
09daddc9,135005,135385,9,9,380,5,13
06307621,135005,135745,1,6,740,5,13
0bd60b70,135005,136105,0,11,1100,5,13
09e32498,135005,136465,8,9,1460,5,13
00d7f0cc,135005,136825,12,0,1820,5,13
08cdb125,135005,137185,5,8,2180,5,13
03bf6d35,135005,137545,5,3,2540,5,13
052ae3f7,135005,137905,7,5,2900,5,13
04ff29c4,135005,138265,4,4,3260,5,13
019a82fb,135005,138625,11,1,3620,5,13
00b36cb8,135005,138985,8,0,3980,5,13
0836cda4,135005,139345,4,8,4340,5,13
001ff445,135005,139705,5,0,4700,5,13
099a18fb,135005,140425,11,9,5420,5,13
06bc05b7,135005,140785,7,6,5780,5,13
037fc51b,135005,141145,11,3,6140,5,13
0525a776,135005,141505,6,5,6500,5,13
089e7392,135005,141865,2,8,6860,5,13
03f38860,135005,142585,0,3,7580,5,13
0b617736,135005,142945,6,11,7940,5,13
0590d441,135005,143305,1,5,8300,5,13
06fc1294,135005,143665,4,6,8660,5,13
03e94df7,135005,144025,7,3,9020,5,13
056adabc,135005,144385,12,5,9380,5,13
049e94e8,337075,337515,8,4,440,5,13
0197667b,337125,337905,11,1,780,5,13
00e8a381,337275,338295,1,0,1020,5,13
001340a7,337175,338745,7,0,1570,5,13
00fb9b68,337205,339105,8,0,1900,5,13
01535249,1035,1495,9,1,460,16,12
0595e811,12045,12525,10,5,480,16,12
034d6096,23085,23685,6,3,600,16,12
003f1766,23605,24255,6,0,650,16,12
06dcd3d1,34095,34525,10,6,430,16,12
05ff7e51,34335,34915,1,5,580,16,12
0bde9f90,34195,35275,2,11,1080,16,12
0b069f27,34555,35635,3,11,1080,16,12
0a457ed5,34175,36005,5,10,1830,16,12
0b724c65,34265,36365,6,11,2100,16,12
08df78c4,34185,36725,7,8,2540,16,12
02784c51,34285,37085,8,2,2800,16,12
08696ce9,34635,37445,9,8,2810,16,12
002d6127,34495,37805,10,0,3310,16,12
0af62637,35115,38525,0,10,3410,16,12
0a07ae8a,34725,38885,1,10,4160,16,12
07572cf4,36065,39245,2,7,3180,16,12
07845aa5,35405,39605,3,7,4200,16,12
