Package,t_envio,t_recibido,emisor,receptor,latencia,p_fifo
00018544,100395,100805,11,0,410,3
0002c608,100535,100845,9,1,310,3
000395d8,100555,100975,6,2,420,3
0002411a,100685,101055,10,1,370,3
00034271,100835,101145,10,2,310,3
0002332c,100785,101195,7,1,410,3
0001065f,100985,101215,12,0,230,3
0004b17c,100735,101235,6,3,500,3
00011e08,101055,101315,12,0,260,3
000382d1,100895,101405,6,2,510,3
000223f4,101135,101425,14,1,290,3
000171ac,101005,101435,11,0,430,3
0002ca20,101015,101465,7,1,450,3
00042fd6,100985,101475,7,3,490,3
00038b98,101075,101485,10,2,410,3
0003fa42,101595,101675,12,2,80,3
0004572b,101305,101705,0,3,400,3
0003b135,101305,101735,7,2,430,3
0003e497,101265,101795,11,2,530,3
0002298a,101525,101865,13,1,340,3
00043fc8,101265,101885,9,3,620,3
0004b3c5,101455,101925,4,3,470,3
0002f2db,101385,101965,11,1,580,3
0003b135,101305,101975,7,2,670,3
0004914b,115,575,6,3,460,3
00031db6,100235,100335,12,2,100,3
0004e77e,100335,100475,14,3,140,3
0002564a,100235,100505,5,1,270,3
00048062,100355,100515,1,3,160,3
000405b2,100325,100615,2,3,290,3
00039208,100305,100665,9,2,360,3
0001ece5,100455,100715,8,0,260,3
0003054b,100615,100775,0,2,160,3
00018544,100395,100805,11,0,410,3
0002c608,100535,100845,9,1,310,3
000395d8,100555,100975,6,2,420,3
0002411a,100685,101055,10,1,370,3
00034271,100835,101145,10,2,310,3
0002332c,100785,101195,7,1,410,3
0001065f,100985,101215,12,0,230,3
0004b17c,100735,101235,6,3,500,3
00011e08,101055,101315,12,0,260,3
000382d1,100895,101405,6,2,510,3
000223f4,101135,101425,14,1,290,3
000171ac,101005,101435,11,0,430,3
0002ca20,101015,101465,7,1,450,3
00042fd6,100985,101475,7,3,490,3
00038b98,101075,101485,10,2,410,3
0003fa42,101595,101675,12,2,80,3
0004572b,101305,101705,0,3,400,3
0003b135,101305,101735,7,2,430,3
0003e497,101265,101795,11,2,530,3
0002298a,101525,101865,13,1,340,3
00043fc8,101265,101885,9,3,620,3
0004b3c5,101455,101925,4,3,470,3
0002f2db,101385,101965,11,1,580,3
0003b135,101305,101975,7,2,670,3
000326f4,200525,200565,2,2,40,3
000480c2,200475,200655,14,3,180,3
00019c5c,200355,200665,8,0,310,3
000387e7,200395,200695,5,2,300,3
00016fca,200615,200725,0,0,110,3
0002090f,200655,200855,5,1,200,3
00023d1c,200785,200895,4,1,110,3
00040281,200355,200915,6,3,560,3
0001440d,200695,201085,11,0,390,3
000493d8,201105,201175,12,3,70,3
00012004,200945,201185,5,0,240,3
000406d9,200875,201215,11,3,340,3
0002137b,201095,201355,5,1,260,3
0001d671,201165,201485,13,0,320,3
00020ac8,201305,201495,1,1,190,3
0001efde,201255,201525,7,0,270,3
00039147,201015,201535,11,2,520,3
00029de5,201285,201595,10,1,310,3
00025445,201195,201635,15,1,440,3
00013e2f,201285,201665,9,0,380,3
0003ed68,201635,201705,2,2,70,3
00042f26,201545,201725,13,3,180,3
00040bdc,201465,201875,4,3,410,3
00029735,201645,201905,6,1,260,3
00038071,201385,201905,1,2,520,3
00017ce4,201805,201915,4,0,110,3
00019b23,201725,201975,3,0,250,3
00016cf7,201475,202015,11,0,540,3
00030634,201775,202055,14,2,280,3
00044587,201885,202065,10,3,180,3
00048649,201655,202125,9,3,470,3
0003bef2,201935,202395,7,2,460,3
0004914b,115,575,6,3,460,3
00031db6,100235,100335,12,2,100,3
0004e77e,100335,100475,14,3,140,3
0002564a,100235,100505,5,1,270,3
00048062,100355,100515,1,3,160,3
000405b2,100325,100615,2,3,290,3
00039208,100305,100665,9,2,360,3
0001ece5,100455,100715,8,0,260,3
0003054b,100615,100775,0,2,160,3
00018544,100395,100805,11,0,410,3
0002c608,100535,100845,9,1,310,3
000395d8,100555,100975,6,2,420,3
0002411a,100685,101055,10,1,370,3
00034271,100835,101145,10,2,310,3
0002332c,100785,101195,7,1,410,3
0001065f,100985,101215,12,0,230,3
0004b17c,100735,101235,6,3,500,3
00011e08,101055,101315,12,0,260,3
000382d1,100895,101405,6,2,510,3
000223f4,101135,101425,14,1,290,3
000171ac,101005,101435,11,0,430,3
0002ca20,101015,101465,7,1,450,3
00042fd6,100985,101475,7,3,490,3
00038b98,101075,101485,10,2,410,3
0003fa42,101595,101675,12,2,80,3
0004572b,101305,101705,0,3,400,3
0003b135,101305,101735,7,2,430,3
0003e497,101265,101795,11,2,530,3
0002298a,101525,101865,13,1,340,3
00043fc8,101265,101885,9,3,620,3
0004b3c5,101455,101925,4,3,470,3
0002f2db,101385,101965,11,1,580,3
0003b135,101305,101975,7,2,670,3
000326f4,200525,200565,2,2,40,3
000480c2,200475,200655,14,3,180,3
00019c5c,200355,200665,8,0,310,3
000387e7,200395,200695,5,2,300,3
00016fca,200615,200725,0,0,110,3
0002090f,200655,200855,5,1,200,3
00023d1c,200785,200895,4,1,110,3
00040281,200355,200915,6,3,560,3
0001440d,200695,201085,11,0,390,3
000493d8,201105,201175,12,3,70,3
00012004,200945,201185,5,0,240,3
000406d9,200875,201215,11,3,340,3
0002137b,201095,201355,5,1,260,3
0001d671,201165,201485,13,0,320,3
00020ac8,201305,201495,1,1,190,3
0001efde,201255,201525,7,0,270,3
00039147,201015,201535,11,2,520,3
00029de5,201285,201595,10,1,310,3
00025445,201195,201635,15,1,440,3
00013e2f,201285,201665,9,0,380,3
0003ed68,201635,201705,2,2,70,3
00042f26,201545,201725,13,3,180,3
